countries,plastic,group,group name
Middle East and north Africa,129,1,2020
Sub-Saharan Africa,174,1,2020
Latin America and Caribbean,231,1,2020
North America,289,1,2020
South Asia,334,1,2020
Europe and central Asia,392,1,202
