Industries,count,group
Building and Construction,"13,000,000.00",a
Consumer & Institutional Products,"37,000,000.00",a
Electrical/Electronic,"13,000,000.00",a
HDPE,"40,000,000.00",a
Industrial Machinery,"1,000,000.00",a
LD and LDPE,"57,000,000.00",a
Other polymer type,"11,000,000.00",a
PET,"32,000,000.00",a
PP,"55,000,000.00",a
PP&A fibers,"42,000,000.00",a
Packaging,"141,000,000.00",a
Textiles,"42,000,000.00",a
Transportation,"17,000,000.00",a
